seq,cycle_duration_us,period_interval_us,read_duration_us,controller_duration_us,write_duration_us,deadline_missed,ok
293,19109.58,33328.63,3.71,7.45,19097.80,0,1
294,17760.22,33334.37,3.40,6.68,17749.71,0,1
295,16440.65,33336.27,10.10,13.21,16414.98,0,1
296,15085.32,33330.84,5.18,10.25,15068.82,0,1
297,13736.11,33331.85,5.18,7.51,13722.52,0,1
298,12406.39,33338.12,10.48,14.87,12378.75,0,1
299,11059.91,33329.06,2.68,6.14,11050.58,0,1
300,9716.25,33332.43,1.73,4.35,9709.83,0,1
301,8397.70,33334.13,3.91,7.88,8385.30,0,1
302,23014.13,33334.33,7.62,10.40,22994.82,0,1
303,21686.82,33331.74,2.20,4.94,21679.22,0,1
304,20380.65,33334.93,3.43,7.13,20369.40,0,1
305,19018.30,33332.71,6.55,11.90,18998.63,0,1
306,17677.49,33334.81,3.30,7.01,17666.68,0,1
307,16362.83,33331.22,2.03,5.95,16354.53,0,1
308,15009.96,33334.27,6.47,10.88,14991.35,0,1
309,13659.87,33333.51,5.15,7.23,13646.67,0,1
310,12347.42,33332.18,3.63,8.14,12335.16,0,1
311,10981.10,33334.65,6.95,11.70,10960.79,0,1
312,9638.98,33333.19,2.73,6.14,9629.73,0,1
313,24291.52,33332.14,2.80,6.77,24281.56,0,1
314,22963.54,33334.76,5.21,10.31,22946.94,0,1
315,21609.69,33332.20,5.86,10.97,21591.61,0,1
316,20322.40,33337.13,13.41,18.68,20288.54,0,1
317,18947.40,33333.10,13.44,20.07,18910.96,0,1
318,17602.85,33334.56,14.45,17.50,17567.01,0,1
319,16278.20,33332.56,11.92,16.11,16248.77,0,1
320,14925.54,33332.58,10.49,13.45,14899.83,0,1
321,13583.13,33336.08,9.08,13.05,13559.70,0,1
322,12260.11,33339.19,21.73,24.82,12209.07,0,1
323,10920.58,33325.89,16.28,20.28,10879.95,0,1
324,9564.87,33332.34,10.28,14.33,9538.79,0,1
325,24203.94,33330.99,3.69,10.05,24189.54,0,1
326,22854.87,33340.57,7.32,14.19,22831.87,0,1
327,21533.74,33325.99,3.96,8.11,21521.00,0,1
328,20213.14,33332.13,3.54,8.66,20200.11,0,1
329,18870.91,33333.89,5.76,10.27,18852.97,0,1
