seq,elapsed_us,ok,error,driver1_alarm,driver1_rpm,driver2_alarm,driver2_rpm
597,15997.61,1,0,0,0,0,0
598,15979.24,1,0,0,0,0,0
599,16087.45,1,0,0,0,0,0
600,15863.39,1,0,0,0,0,0
601,15983.27,1,0,0,0,0,0
602,16000.15,1,0,0,0,0,0
603,16003.50,1,0,0,0,0,0
604,15984.05,1,0,0,0,0,0
605,16028.93,1,0,0,0,0,0
606,15982.68,1,0,0,0,0,0
607,15981.35,1,0,0,0,0,0
608,15993.53,1,0,0,0,0,0
609,16001.58,1,0,0,0,0,0
610,15991.78,1,0,0,0,0,0
611,16022.35,1,0,0,0,0,0
612,15995.35,1,0,0,0,0,0
613,15973.33,1,0,0,0,0,0
614,15996.44,1,0,0,0,0,0
615,15990.57,1,0,0,0,0,0
616,16000.38,1,0,0,0,0,0
617,16019.50,1,0,0,0,0,0
618,15993.44,1,0,0,0,0,0
619,15985.24,1,0,0,0,0,0
620,15986.00,1,0,0,0,0,0
621,15995.95,1,0,0,0,0,0
622,15999.99,1,0,0,0,0,0
623,15990.73,1,0,0,0,0,0
624,16023.28,1,0,0,0,0,0
625,15976.28,1,0,0,0,0,0
626,15988.56,1,0,0,0,0,0
627,15999.22,1,0,0,0,0,0
628,16000.07,1,0,0,0,0,0
629,15993.08,1,0,0,0,0,0
630,15998.92,1,0,0,0,0,0
631,15986.67,1,0,0,0,0,0
632,16000.46,1,0,0,0,0,0
633,15999.78,1,0,0,0,0,0
634,15993.23,1,0,0,0,0,0
635,16061.22,1,0,0,0,0,0
636,15938.74,1,0,0,0,0,0
637,15990.85,1,0,0,0,0,0
638,15994.03,1,0,0,0,0,0
639,16000.48,1,0,0,0,0,0
640,15989.40,1,0,0,0,0,0
641,16002.38,1,0,0,0,0,0
642,15998.37,1,0,0,0,0,0
643,15991.72,1,0,0,0,0,0
644,15998.14,1,0,0,0,0,0
645,16001.69,1,0,0,0,0,0
646,15988.88,1,0,0,0,0,0
647,16003.00,1,0,0,0,0,0
648,16004.30,1,0,0,0,0,0
649,15984.09,1,0,0,0,0,0
650,15998.62,1,0,0,0,0,0
651,16000.37,1,0,0,0,0,0
652,15991.05,1,0,0,0,0,0
653,16000.11,1,0,0,0,0,0
654,15998.67,1,0,0,0,0,0
655,15993.40,1,0,0,0,0,0
656,15998.76,1,0,0,0,0,0
657,15998.49,1,0,0,0,0,0
658,15999.20,1,0,0,0,0,0
659,16002.34,1,0,0,0,0,0
660,16001.13,1,0,0,0,0,0
661,15998.84,1,0,0,0,0,0
662,15999.40,1,0,0,0,0,0
663,15998.36,1,0,0,0,0,0
664,15999.78,1,0,0,0,0,0
665,16034.69,1,0,0,0,0,0
666,16014.92,1,0,0,0,0,0
667,15956.07,1,0,0,0,0,0
668,15993.65,1,0,0,0,0,0
669,16019.40,1,0,0,0,0,0
670,16004.58,1,0,0,0,0,0
671,15996.98,1,0,0,0,0,0
672,15981.65,1,0,0,0,0,0
673,16353.48,1,0,0,0,0,0
674,15668.23,1,0,0,0,0,0
675,16000.62,1,0,0,0,0,0
676,15977.33,1,0,0,0,0,0
677,16021.51,1,0,0,0,0,0
678,15904.39,1,0,0,0,0,0
679,16057.13,1,0,0,0,0,0
680,15977.53,1,0,0,0,0,0
681,15963.58,1,0,0,0,0,0
682,15990.54,1,0,0,0,0,0
683,16014.14,1,0,0,0,0,0
684,15972.82,1,0,0,0,0,0
685,16001.67,1,0,0,0,0,0
686,16014.14,1,0,0,0,0,0
687,15987.09,1,0,0,0,0,0
688,15986.55,1,0,0,0,0,0
689,16007.22,1,0,0,0,0,0
690,15982.69,1,0,0,0,0,0
691,16044.93,1,0,0,0,0,0
692,15973.22,1,0,0,0,0,0
693,15989.32,1,0,0,0,0,0
694,15985.06,1,0,0,0,0,0
695,16000.42,1,0,0,0,0,0
696,15992.40,1,0,0,0,0,0
697,16070.21,1,0,0,0,0,0
698,15991.00,1,0,0,0,0,0
699,15971.75,1,0,0,0,0,0
700,15950.50,1,0,0,0,0,0
701,15976.61,1,0,0,0,0,0
702,16007.97,1,0,0,0,0,0
703,16038.95,1,0,0,0,0,0
704,15952.25,1,0,0,0,0,0
705,18754.78,1,0,0,0,0,0
706,13296.69,1,0,0,0,0,0
707,15989.50,1,0,0,0,0,0
708,16002.35,1,0,0,0,0,0
709,16163.72,1,0,0,0,0,0
710,15815.68,1,0,0,0,0,0
711,15987.29,1,0,0,0,0,0
712,16300.56,1,0,0,0,0,0
713,15702.47,1,0,0,0,0,0
714,15979.57,1,0,0,0,0,0
715,16130.17,1,0,0,0,0,0
716,15825.42,1,0,0,0,0,0
717,15995.26,1,0,0,0,0,0
718,16024.81,1,0,0,0,0,0
719,15971.81,1,0,0,0,0,0
720,15985.12,1,0,0,0,0,0
721,15993.33,1,0,0,0,0,0
722,16006.39,1,0,0,0,0,0
723,15994.95,1,0,0,0,0,0
724,15997.70,1,0,0,0,0,0
725,15993.98,1,0,0,0,0,0
726,15990.80,1,0,0,0,0,0
727,15998.62,1,0,0,0,0,0
728,15988.47,1,0,0,0,0,0
729,16006.59,1,0,0,0,0,0
